p;L;L(p);R(p);T(p)
65;75;1.21333;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.41333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.37333;0.0133333;1.00000
65;75;1.29333;0.0133333;1.00000
65;75;1.34667;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.22667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.34667;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.21333;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.28;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.41333;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.44;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.29333;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;1.45333;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.36;0.0133333;2.00000
65;75;1.28;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.29333;0.0133333;2.00000
65;75;1.24;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.42667;0.0133333;1.00000
65;75;1.29333;0.0133333;1.00000
65;75;1.28;0.0133333;2.00000
65;75;1.41333;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;0.346667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;0.253333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.42667;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;0.333333;0.0133333;2.00000
65;75;1.33333;0.0133333;1.00000
65;75;1.33333;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.37333;0.0133333;1.00000
65;75;1.22667;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.42667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.28;0.0133333;2.00000
65;75;1.24;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.38667;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;0.386667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.18667;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.41333;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.45333;0.0133333;3.00000
65;75;1.22667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.42667;0.0133333;1.00000
65;75;1.34667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.42667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;0.386667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.24;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.49333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;0.813333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.34667;0.0133333;2.00000
65;75;1.41333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.38667;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.41333;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.45333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.29333;0.0133333;2.00000
65;75;1.25333;0.0133333;2.00000
65;75;1.25333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.34667;0.0133333;2.00000
65;75;0.28;0;-1.#IND0
65;75;1.37333;0.0133333;2.00000
65;75;1.26667;0;-1.#IND0
65;75;1.33333;0.0133333;1.00000
65;75;1.48;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.49333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.50667;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.25333;0.0133333;1.00000
65;75;1.49333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.28;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.2;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.37333;0.0133333;2.00000
65;75;1.34667;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;0.28;0.0133333;2.00000
65;75;1.25333;0.0133333;1.00000
65;75;1.53333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.21333;0.0133333;1.00000
65;75;1.21333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;0.253333;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.4;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.28;0.0133333;1.00000
65;75;1.34667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;0.306667;0.0133333;1.00000
65;75;1.25333;0.0133333;2.00000
65;75;1.30667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.36;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.48;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.38667;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.58667;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.21333;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.45333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.41333;0.0133333;1.00000
65;75;1.22667;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.22667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.45333;0;-1.#IND0
65;75;1.25333;0.0133333;2.00000
65;75;1.28;0.0133333;1.00000
65;75;1.13333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;0.44;0;2.00000
65;75;1.28;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.28;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.34667;0.0133333;2.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.22667;0.0133333;2.00000
65;75;1.28;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.44;0;-1.#IND0
65;75;1.38667;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.18667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;0.306667;0;-1.#IND0
65;75;1.26667;0.0133333;1.00000
65;75;1.32;0.0133333;2.00000
65;75;1.38667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.46667;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.37333;0.0133333;1.00000
65;75;1.37333;0.0133333;1.00000
65;75;1.41333;0;-1.#IND0
65;75;1.25333;0.0133333;2.00000
65;75;1.33333;0;-1.#IND0
65;75;1.22667;0.0133333;2.00000
65;75;0.386667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.42667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.22667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.36;0;-1.#IND0
65;75;1.26667;0.0133333;1.00000
65;75;1.38667;0.0133333;1.00000
65;75;1.37333;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.26667;0.0133333;1.00000
65;75;1.4;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.4;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.2;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.41333;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.25333;0.0133333;2.00000
65;75;1.36;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.41333;0;-1.#IND0
65;75;1.49333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.2;0;-1.#IND0
65;75;1.42667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.38667;0.0133333;1.00000
65;75;1.4;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.26667;0.0133333;1.00000
65;75;1.28;0.0133333;2.00000
65;75;1.28;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.45333;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.4;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.33333;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.34667;0.0133333;2.00000
65;75;1.24;0;-1.#IND0
65;75;0.346667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.33333;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.2;0.0133333;2.00000
65;75;1.24;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.42667;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.17333;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.4;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.61333;0.0133333;1.00000
65;75;1.21333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.42667;0;-1.#IND0
65;75;1.24;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.34667;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.44;0.0133333;1.00000
65;75;1.38667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.36;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.22667;0.0133333;1.00000
65;75;1.41333;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.22667;0;-1.#IND0
65;75;0.386667;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.21333;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.33333;0.0133333;1.00000
65;75;1.34667;0;-1.#IND0
65;75;1.4;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.24;0;-1.#IND0
65;75;1.13333;0;-1.#IND0
65;75;1.26667;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.22667;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.2;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.2;0;-1.#IND0
65;75;0.28;0;-1.#IND0
65;75;1.29333;0.0133333;1.00000
65;75;1.24;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.41333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.26667;0.0133333;1.00000
65;75;1.34667;0;-1.#IND0
65;75;1.22667;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.42667;0;-1.#IND0
65;75;1.48;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.30667;0.0133333;2.00000
65;75;1.33333;0;-1.#IND0
65;75;0.386667;0;-1.#IND0
65;75;0.253333;0;2.00000
65;75;1.2;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.30667;0.0133333;1.00000
65;75;1.29333;0;-1.#IND0
65;75;1.37333;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.28;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.21333;0.0133333;1.00000
65;75;1.30667;0.0133333;1.00000
65;75;1.26667;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;0.426667;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;1.30667;0;-1.#IND0
65;75;1.21333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.25333;0.0133333;1.00000
65;75;1.37333;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;0.586667;0.0133333;2.00000
65;75;0.253333;0.0133333;1.00000
65;75;0.293333;0.0133333;2.00000
65;75;1.32;0.0266667;1.50000
65;75;1.42667;0.0133333;1.00000
65;75;1.50667;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.44;0;-1.#IND0
65;75;0.413333;0;-1.#IND0
65;75;1.36;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.2;0;-1.#IND0
65;75;1.37333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.32;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.62667;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.30667;0;-1.#IND0
65;75;1.26667;0.0133333;2.00000
65;75;1.24;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.38667;0;-1.#IND0
65;75;1.29333;0;-1.#IND0
65;75;1.34667;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.45333;0.0133333;1.00000
65;75;1.21333;0.0133333;1.00000
65;75;1.33333;0.0133333;1.00000
65;75;1.28;0;-1.#IND0
65;75;0.346667;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;0.386667;0.0133333;2.00000
65;75;1.29333;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.33333;0;-1.#IND0
65;75;1.26667;0;-1.#IND0
65;75;1.24;0.0133333;1.00000
65;75;1.33333;0;-1.#IND0
65;75;1.22667;0;-1.#IND0
65;75;1.33333;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.44;0.0133333;1.00000
65;75;1.32;0.0133333;1.00000
65;75;1.32;0;-1.#IND0
65;75;1.28;0;-1.#IND0
65;75;1.32;0.0133333;1.00000
65;75;1.36;0.0133333;1.00000
65;75;1.25333;0.0133333;1.00000
65;75;1.25333;0;-1.#IND0
65;75;1.25333;0;-1.#IND0
65;75;1.32;0;-1.#IND0
